CBSA,MDIV,STCOU,NAME,LSAD,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,NPOPCHG2020,NPOPCHG2021,BIRTHS2020,BIRTHS2021,DEATHS2020,DEATHS2021,NATURALCHG2020,NATURALCHG2021,INTERNATIONALMIG2020,INTERNATIONALMIG2021,DOMESTICMIG2020,DOMESTICMIG2021,NETMIG2020,NETMIG2021,RESIDUAL2020,RESIDUAL2021
38820,,,"Port Angeles, WA",Micropolitan Statistical Area,77155,77280,78209,125,929,146,575,288,1227,-142,-652,3,35,277,1566,280,1601,-13,-20
38920,,,"Port Lavaca, TX",Micropolitan Statistical Area,20106,20047,19727,-59,-320,73,256,63,247,10,9,0,11,-68,-336,-68,-325,-1,-4
39020,,,"Portsmouth, OH",Micropolitan Statistical Area,74008,73720,73346,-288,-374,152,775,366,1151,-214,-376,0,1,-72,-11,-72,-10,-2,12
39060,,,"Pottsville, PA",Micropolitan Statistical Area,143049,142777,143264,-272,487,301,1267,608,2174,-307,-907,0,6,45,1394,45,1400,-10,-6
39220,,,"Price, UT",Micropolitan Statistical Area,20412,20465,20372,53,-93,57,233,60,238,-3,-5,0,2,58,-93,58,-91,-2,3
39260,,,"Prineville, OR",Micropolitan Statistical Area,24738,24923,25739,185,816,63,229,69,286,-6,-57,0,-2,193,889,193,887,-2,-14
39420,,,"Pullman, WA",Micropolitan Statistical Area,47973,47786,47873,-187,87,115,329,78,317,37,12,4,143,-233,-75,-229,68,5,7
39500,,,"Quincy, IL-MO",Micropolitan Statistical Area,75769,75561,74954,-208,-607,173,851,256,1073,-83,-222,0,3,-119,-395,-119,-392,-6,7
39700,,,"Raymondville, TX",Micropolitan Statistical Area,20164,20129,20316,-35,187,60,236,57,212,3,24,0,-2,-39,163,-39,161,1,2
39780,,,"Red Bluff, CA",Micropolitan Statistical Area,65829,65615,65498,-214,-117,160,751,207,768,-47,-17,0,-13,-164,-100,-164,-113,-3,13
39860,,,"Red Wing, MN",Micropolitan Statistical Area,47582,47536,47968,-46,432,116,484,144,569,-28,-85,0,3,-15,514,-15,517,-3,0
39940,,,"Rexburg, ID",Micropolitan Statistical Area,66301,66280,67473,-21,1193,329,1255,64,323,265,932,-1,14,-290,239,-291,253,5,8
39980,,,"Richmond, IN",Micropolitan Statistical Area,66553,66455,66456,-98,1,180,762,261,997,-81,-235,2,36,-17,192,-15,228,-2,8
40080,,,"Richmond-Berea, KY",Micropolitan Statistical Area,106864,107054,108758,190,1704,264,1118,319,1235,-55,-117,0,7,241,1824,241,1831,4,-10
40100,,,"Rio Grande City-Roma, TX",Micropolitan Statistical Area,65920,65835,66049,-85,214,231,1107,130,512,101,595,1,-68,-192,-324,-191,-392,5,11
40180,,,"Riverton, WY",Micropolitan Statistical Area,39234,39177,39336,-57,159,120,457,146,567,-26,-110,0,-1,-30,267,-30,266,-1,3
40260,,,"Roanoke Rapids, NC",Micropolitan Statistical Area,66093,65933,65401,-160,-532,162,676,273,1134,-111,-458,0,14,-43,-94,-43,-80,-6,6
40300,,,"Rochelle, IL",Micropolitan Statistical Area,51788,51678,51449,-110,-229,142,513,154,594,-12,-81,0,4,-96,-160,-96,-156,-2,8
40460,,,"Rockingham, NC",Micropolitan Statistical Area,42946,42879,42724,-67,-155,155,573,175,668,-20,-95,0,-1,-47,-67,-47,-68,0,8
40530,,,"Rockport, TX",Micropolitan Statistical Area,23830,23916,24510,86,594,48,175,116,421,-68,-246,0,5,158,849,158,854,-4,-14
40540,,,"Rock Springs, WY",Micropolitan Statistical Area,42272,42158,41614,-114,-544,112,481,116,400,-4,81,1,18,-113,-639,-112,-621,2,-4
40620,,,"Rolla, MO",Micropolitan Statistical Area,44638,44517,44937,-121,420,103,396,156,560,-53,-164,2,65,-70,519,-68,584,0,0
40700,,,"Roseburg, OR",Micropolitan Statistical Area,111201,111235,111978,34,743,284,994,483,1787,-199,-793,1,-6,247,1553,248,1547,-15,-11
40740,,,"Roswell, NM",Micropolitan Statistical Area,65157,65168,64629,11,-539,204,792,174,832,30,-40,1,24,-20,-530,-19,-506,0,7
